"",Married: No, Married: Yes,Dependents: No, Dependents: Yes,Employer is college: No, Employer is college or university: Yes
I am satisfied with the overall climate within the field of economics,0.19,0.20,0.19,0.21,0.21,0.20
I am satisfied with the overall climate at my institution/place of employment,0.44,0.47,0.46,0.46,0.49,0.45
I feel valued within the field of economics,0.24,0.25,0.25,0.24,0.25,0.25
I feel valued at my institution/place of employment,0.49,0.57,0.55,0.54,0.57,0.54
I always feel included socially within the field of economics,0.24,0.21,0.21,0.23,0.23,0.21
I always feel included socially at my institution/place of employment,0.50,0.55,0.54,0.53,0.53,0.54
I always feel included intellectually within the field of economics,0.27,0.28,0.27,0.29,0.28,0.28
I always feel included intellectually at my institution/place of employment,0.50,0.56,0.55,0.54,0.57,0.53
I feel I have been discriminated against within the field of economics,0.31,0.30,0.31,0.29,0.26,0.32
I feel I have been discriminated against at my institution/place of employment,0.23,0.19,0.19,0.20,0.20,0.20
The work that I do is valued within the field of economics,0.34,0.33,0.32,0.34,0.33,0.34
The work that I do is valued at my institution/place of employment,0.52,0.58,0.56,0.58,0.62,0.55
I think I have a great deal of power within the field of economics,0.06,0.05,0.05,0.05,0.07,0.04
I think I have a great deal of power at my institution/place of employment,0.16,0.22,0.19,0.22,0.23,0.19
My ideas and opinions are often ignored within the field of economics,0.23,0.23,0.24,0.21,0.22,0.23
My ideas and opinions are often ignored at my institution/place of employment,0.16,0.13,0.15,0.12,0.12,0.15
