Have you personally experienced discrimination or unfair treatment with regard to:,Non-Black,Black,Non-Asian,Asian,Non-Latino,Latino
Promotion decisions,0.15,0.27,0.15,0.18,0.15,0.23
Compensation,0.19,0.34,0.19,0.23,0.19,0.23
Teaching assignments,0.14,0.23,0.14,0.18,0.14,0.20
Service obligations,0.19,0.26,0.19,0.21,0.19,0.24
Access to time and funding to attend conferences and seminars,0.09,0.18,0.09,0.13,0.09,0.16
Access to graduate student researchers,0.08,0.17,0.08,0.11,0.08,0.12
Course evaluations,0.20,0.36,0.19,0.26,0.20,0.23
Publishing decisions,0.22,0.36,0.21,0.26,0.21,0.29
Funding decisions,0.13,0.22,0.13,0.17,0.13,0.21
Sabbatical time,0.05,0.06,0.04,0.07,0.05,0.06
Access to potential coauthors,0.10,0.19,0.10,0.14,0.10,0.15
"Invitations to participate in research conferences, associations and networks",0.19,0.34,0.19,0.24,0.19,0.25
