"Have you ever done any of the following to avoid possible harassment, discrimination, or unfair or disrespectful treatment:",Married: No, Married: Yes,Dependents: No, Dependents: Yes
Not applied for or accepted admission at a particular grad school,0.14,0.08,0.11,0.08
Paused or ceased enrollment at a particular grad school,0.05,0.03,0.04,0.03
Not applied for or taken a particular employment position,0.27,0.22,0.23,0.23
Not applied for or taken a promotion at your place of employment,0.13,0.11,0.09,0.14
Left a particular employment position,0.20,0.13,0.14,0.15
"Not presented your question, idea, or view at your school or place of work",0.52,0.46,0.48,0.47
Not participated in a conference,0.20,0.20,0.18,0.22
Not spoken at a conference or during a seminar presentation,0.45,0.46,0.44,0.47
Not made a professional visit to a particular place,0.17,0.15,0.14,0.18
"Not attended social events after class, at work, or at conferences",0.43,0.42,0.41,0.43
"Changed the topic, content, or method of a class you teach",0.20,0.19,0.18,0.21
"Changed the content, method, or conclusions of a research paper",0.11,0.09,0.09,0.10
Not started or continued research in a particular field,0.27,0.24,0.24,0.25
